ou_code,yjs_name,pcc_area,yjb_country,yjb_region,yot_region,2018,2019,2020,2021
F00BK00,Barking and Dagenham,London,England,London,London,24694,25313,26140,28088
F00BT00,Barnet,London,England,London,London,38350,39615,40887,40116
F00BA00,Barnsley,South Yorkshire,England,Yorkshire,Yorkshire,21589,21982,22564,22452
F00BN00,Bath and North East Somerset,Avon and Somerset,England,South West,South West,16018,16371,16714,16687
F00BE00,Bedfordshire,Bedfordshire,England,Eastern,Eastern,43068,44155,45532,46332
F00BX00,Bexley,London,England,London,London,24399,24693,25032,25560
F00BI00,Birmingham,West Midlands,England,West Midlands,West Midlands,121498,122952,123909,131118
F00BD00,Blackburn with Darwen,Lancashire,England,North West,North West,16753,17129,17304,18578
F00BL00,Blackpool,Lancashire,England,North West,North West,12161,12494,12605,12641
F00CB00,Blaenau Gwent and Caerphilly,Gwent,Wales,Wales,Wales,22738,23028,23543,22865
F00BO00,Bolton,Greater Manchester,England,North West,North West,28400,29033,29761,32813
F00BF00,Bracknell Forest,Thames Valley,England,South East,South East,12447,12881,13404,12885
F00BR00,Bradford,West Yorkshire,England,Yorkshire,Yorkshire,61111,62299,63471,65276
F00BZ00,Brent,London,England,London,London,30864,30900,31157,33224
F00BG00,Bridgend,South Wales,Wales,Wales,Wales,12891,12870,13022,13663
F00BQ00,Brighton and Hove,Sussex,England,South East,South East,22524,22498,22899,22446
F00BS00,Bristol,Avon and Somerset,England,South West,South West,36871,37610,38718,39300
F00BH00,Bromley,London,England,London,London,31233,31751,32714,32648
F00BU00,Buckinghamshire,Thames Valley,England,South East,South East,54966,56496,58076,57690
F00RB00,Bury and Rochdale,Greater Manchester,England,North West,North West,40629,41365,42246,44896
F00CA00,Calderdale,West Yorkshire,England,Yorkshire,Yorkshire,19997,20340,20818,21007
F00CM00,Cambridgeshire,Cambridgeshire,England,Eastern,Eastern,58063,59406,60903,60564
F00CD00,Camden,London,England,London,London,21377,22397,23592,16620
